"Date","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
2002-01-02,11.13,11.01,10.46,10.87,6674703,10.87
2002-01-03,11.26,12.25,10.76,11.99,11441553,11.99
2002-01-04,12.46,12.62,11.71,12.1,12619402,12.1
2002-01-07,11.76,12.73,12.01,12.48,12296059,12.48
2002-01-08,12.82,12.43,11.35,11.96,6821418,11.96
2002-01-09,12.07,12.49,10.93,11.59,10669376,11.59
2002-01-10,11.27,11.76,10.81,11.13,7517622,11.13
2002-01-11,10.8,11.72,10.73,11.25,4393313,11.25
2002-01-14,10.82,10.9,10.07,10.15,6458271,10.15
2002-01-15,10.34,10.74,9.75,10.52,4655069,10.52
2002-01-16,9.44,10.09,8.74,9.16,15481146,9.16
2002-01-17,10.01,10.26,8.93,10.19,17075245,10.19
2002-01-18,9.46,10.85,9.33,10.17,11315792,10.17
2002-01-22,12.78,12.8,12.05,12.18,56529695,12.18
2002-01-23,12.63,13,11.69,12.63,17943526,12.63
2002-01-24,13.13,14.34,12.58,13.94,22735346,13.94
2002-01-25,13.72,15.61,13.37,14.44,30152532,14.44
2002-01-28,15.14,15.95,14.55,15.97,23728608,15.97
2002-01-29,15.34,15.79,13.95,14.13,20741162,14.13
2002-01-30,13.87,14.5,13.03,13.58,14789444,13.58
2002-01-31,14.22,14.66,13.26,14.37,10827735,14.37
2002-02-01,14.08,14.5,13.09,13.64,7863499,13.64
2002-02-04,12.65,13.28,12.34,12.29,18640093,12.29
2002-02-05,11.66,12.53,11.14,11.2,12772089,11.2
2002-02-06,11.84,12.08,11.02,11.37,8345321,11.37
2002-02-07,11.44,12.02,11.02,11.15,7345887,11.15
2002-02-08,11.59,12.81,11.31,12.49,6080307,12.49
2002-02-11,12.36,13.67,11.98,13.51,10223344,13.51
2002-02-12,12.85,13.57,12.22,12.65,7482691,12.65
2002-02-13,12.92,13.35,12.66,13.33,6485264,13.33
2002-02-14,12.88,14.41,13.17,14.27,9306260,14.27
2002-02-15,13.81,14.19,13.06,13.49,6909341,13.49
2002-02-19,12.96,14.08,12.48,13.55,8242140,13.55
2002-02-20,13.42,13.61,12.1,12.92,8399663,12.92
2002-02-21,13.32,13.76,12.49,13.51,8108905,13.51
2002-02-22,13.07,13.52,12.64,13.32,8036249,13.32
2002-02-25,13.55,13.8,12.86,13.88,4426134,13.88
2002-02-26,13.53,14.49,13.32,14.4,8339617,14.4
2002-02-27,14.9,14.77,13.95,14.45,8168013,14.45
2002-02-28,14.65,15.12,13.92,14.13,6155875,14.13
2002-03-01,14.14,15.51,14.01,15.8,9480966,15.8
2002-03-04,15.04,16.65,15.38,16.46,14125995,16.46
2002-03-05,15.99,17.14,15.51,15.92,8568355,15.92
2002-03-06,14.77,16.8,14.19,16.1,14278561,16.1
2002-03-07,16.93,17.400001,14.86,15.46,8948647,15.46
2002-03-08,16.3,17.039999,15.6,16.58,8712154,16.58
2002-03-11,16.170001,17.179999,15.57,16.439999,5888443,16.439999
2002-03-12,16.77,16.96,15.770001,16.289999,5950094,16.289999
2002-03-13,16.149999,16.46,15.38,16.1,5701747,16.1
2002-03-14,14.67,16.03,13.97,13.98,15213210,13.98
2002-03-15,14.12,14.46,13.46,14.16,12183531,14.16
2002-03-18,14.59,15.38,13.8,15.09,10112513,15.09
2002-03-19,15.1,15.46,14.26,14.8,4425279,14.8
2002-03-20,14.39,15.23,13.99,14.37,7794924,14.37
2002-03-21,14.77,15.35,14.45,15.51,4991852,15.51
2002-03-22,15.37,16.02,15.04,15.66,5100944,15.66
2002-03-25,15.46,15.74,14.64,14.8,5510334,14.8
2002-03-26,14.41,15.58,14.55,14.92,4900265,14.92
2002-03-27,14.13,14.37,13.46,13.9,7959582,13.9
2002-03-28,14.69,14.75,13.97,14.26,4365947,14.26
2002-04-01,14.17,14.94,13.77,14.57,5828639,14.57
2002-04-02,14.87,15.11,14.1,14.05,4608831,14.05
2002-04-03,13.84,14.49,13.3,13.54,4371363,13.54
2002-04-04,13.31,13.85,12.66,13.46,6263944,13.46
